S_no,Tahsil/Taluk,Village,Latitude,Longitude,Date_of_collection,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
34,Arcot,Maruthampadi,"12°48'00""","79°17'00""",01-12-1981,384.519457,13.17692308,92,43,101,5.964226244,138,121.0057919,0.626930769,8.3,64.58901709,Poor
35,Vellore,Pennathur,"12°50'40""","79°06'40""",01-12-1981,384.519457,13.17692308,108,83,46,5.964226244,259,121.0057919,0.626930769,7.3,60.82819458,Poor
36,Walajahpet,Lalapet,"12°58'00""","79°03'00""",01-12-1981,384.519457,13.17692308,58.75113122,124,329,5.964226244,189.0329095,121.0057919,0.626930769,7.7,65.17591913,Poor
37,Gudiyatham,Gudiyatham,"12°56'40""","78°52'10""",01-12-1981,384.519457,13.17692308,52,29,177,5.964226244,163,121.0057919,0.626930769,8,61.65918148,Poor
38,Katpadi,Arumparuthi,"12°58'05""","79°12'25""",01-12-1981,384.519457,13.17692308,136,38,324,5.964226244,189.0329095,121.0057919,0.626930769,8,63.60532486,Poor
39,Katpadi,Vaduganthangal,"12°58'10""","79°04'10""",01-12-1981,384.519457,13.17692308,152,73,110,5.964226244,291,121.0057919,0.626930769,7.9,64.74199669,Poor
40,Arakkonam,Sendamangalam,"12°29'00""","78°34'20""",01-12-1981,384.519457,13.17692308,54,15,58,5.964226244,67,121.0057919,0.626930769,7.9,60.00023252,Poor
41,Arakkonam,Kilveeranam,"12°59'51""","79°28'25""",01-12-1981,384.519457,13.17692308,54,13,69,5.964226244,53,121.0057919,0.626930769,7.8,59.29055925,Poor
42,Arakkonam,Nehru Nagar,"13°06'17""","79°29'45""",01-12-1981,384.519457,13.17692308,184,90,347,5.964226244,189.0329095,121.0057919,0.626930769,8.7,71.27927447,Poor
43,Gudiyatham,Pallalakuppam,"12°53'20""","78°46'00""",01-12-1981,384.519457,13.17692308,72,39,74,5.964226244,85,121.0057919,0.626930769,8.1,62.76678702,Poor
44,Vellore,Pallikonda,"12°54'05""","78°56'30""",01-12-1981,384.519457,13.17692308,58.75113122,52.24729367,400,5.964226244,189.0329095,121.0057919,0.626930769,7.6,60.98394755,Poor
45,Gudiyatham,Kallapadi,"12°59'45""","78°54'40""",01-12-1981,384.519457,13.17692308,70,51,117,5.964226244,78,121.0057919,0.626930769,8.3,64.65607074,Poor
46,Gudiyatham,Modikuppam,"13°01'50""","78°10'48""",01-12-1981,384.519457,13.17692308,108,61,184,5.964226244,188,121.0057919,0.626930769,8.1,64.74713347,Poor
47,Vellore,Perumugai,"12°56'33""","79°11'49""",01-12-1981,384.519457,13.17692308,62,24,71,5.964226244,32,121.0057919,0.626930769,8.3,62.99896433,Poor
48,Vellore,Karadikudi,"12°50'38""","78°55'49""",01-12-1981,384.519457,13.17692308,62,72,230,5.964226244,248,121.0057919,0.626930769,8.3,66.06545022,Poor
49,Vellore,Usur,"12°51'54""","79°03'43""",01-12-1981,384.519457,13.17692308,72,71,435,5.964226244,418,121.0057919,0.626930769,8.2,66.15200442,Poor
