,vellore,Latitude,Longitude,Date,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
40,,"12°29'00""","78°34'20""",10-02-2010,384.519457,13.17692308,54,15,58,5.964226244,67,121.0057919,0.626930769,7.9,60.00023252,Poor
41,,"12°59'51""","79°28'25""",11-02-2010,384.519457,13.17692308,54,13,69,5.964226244,53,121.0057919,0.626930769,7.8,59.29055925,Poor
42,,"13°06'17""","79°29'45""",12-02-2010,384.519457,13.17692308,184,90,347,5.964226244,189.0329095,121.0057919,0.626930769,8.7,71.27927447,Poor
43,,"12°53'20""","78°46'00""",13-02-2010,384.519457,13.17692308,72,39,74,5.964226244,85,121.0057919,0.626930769,8.1,62.76678702,Poor
44,,"12°54'05""","78°56'30""",14-02-2010,384.519457,13.17692308,58.75113122,52.24729367,400,5.964226244,189.0329095,121.0057919,0.626930769,7.6,60.98394755,Poor
45,,"12°59'45""","78°54'40""",15-02-2010,384.519457,13.17692308,70,51,117,5.964226244,78,121.0057919,0.626930769,8.3,64.65607074,Poor
46,,"13°01'50""","78°10'48""",16-02-2010,384.519457,13.17692308,108,61,184,5.964226244,188,121.0057919,0.626930769,8.1,64.74713347,Poor
47,,"12°56'33""","79°11'49""",17-02-2010,384.519457,13.17692308,62,24,71,5.964226244,32,121.0057919,0.626930769,8.3,62.99896433,Poor
48,,"12°50'38""","78°55'49""",18-02-2010,384.519457,13.17692308,62,72,230,5.964226244,248,121.0057919,0.626930769,8.3,66.06545022,Poor
49,,"12°51'54""","79°03'43""",19-02-2010,384.519457,13.17692308,72,71,435,5.964226244,418,121.0057919,0.626930769,8.2,66.15200442,Poor
50,,"12°47'26""","79°05'09""",20-02-2010,384.519457,13.17692308,64,58,81,5.964226244,74,121.0057919,0.626930769,8.2,64.25111999,Poor
51,,"12°45'15""","79°09'18""",21-02-2010,384.519457,13.17692308,90,92,156,5.964226244,255,121.0057919,0.626930769,8,65.52446983,Poor
52,,"12°55'05""","79°03'00""",22-02-2010,384.519457,13.17692308,130,39,196,5.964226244,284,121.0057919,0.626930769,8.5,66.49326691,Poor
53,,"12°42'17""","78°48'58""",23-02-2010,384.519457,13.17692308,26,52,127,5.964226244,82,121.0057919,0.626930769,8.9,67.78370343,Poor
54,,"13°07'50""","79°15'35""",24-02-2010,384.519457,13.17692308,58.75113122,92,299,5.964226244,189.0329095,121.0057919,0.626930769,8.4,67.72817137,Poor
55,,"13°06'25""","79°25'25""",25-02-2010,384.519457,13.17692308,84,28,230,5.964226244,262,121.0057919,0.626930769,8.3,64.10582473,Poor
56,,"13°02'20""","79°22'05""",26-02-2010,384.519457,13.17692308,148,92,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,8.4,68.74384424,Poor
57,,"12°59'40""","79°25'28""",27-02-2010,384.519457,13.17692308,144,60,117,5.964226244,255,121.0057919,0.626930769,7.9,63.92621479,Poor
58,,"12°54'10""","79°26'30""",28-02-2010,384.519457,13.17692308,58.75113122,68,228,5.964226244,18,121.0057919,0.626930769,7.7,61.86338492,Poor
59,,"12°57'30""","79°17'00""",01-03-2010,384.519457,13.17692308,62,33,115,5.964226244,82,121.0057919,0.626930769,7.8,60.56359343,Poor
60,,"12°39'30""","79°23'42""",02-03-2010,384.519457,13.17692308,60,20,113,5.964226244,96,121.0057919,0.626930769,8.9,66.58491214,Poor
