,vellore,Latitude,Longitude,Date,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
540,,"12°58'50""","79°39'00""",25-06-2011,384.519457,34,84,117,283,28,189.0329095,211,0.626930769,8.6,83.40244897,Very poor
541,,"12°53'27""","79°30'50""",26-06-2011,566,13.17692308,50,28,115,24,106,91,0.626930769,8.4,73.57816611,Poor
542,,"12°48'00""","79°17'00""",27-06-2011,578,7,62,36,104,2,110,38,0.626930769,8.8,64.3850159,Poor
543,,"12°50'40""","79°06'40""",28-06-2011,384.519457,78,160,122,396,6,189.0329095,239,0.626930769,7.8,69.90457334,Poor
544,,"12°58'00""","79°03'00""",29-06-2011,384.519457,43,48,52.24729367,368,8,189.0329095,298,0.626930769,8.5,68.7826851,Poor
545,,"12°56'40""","78°52'10""",30-06-2011,384.519457,1,10,35,375,4,312,288,0.626930769,8.6,64.35092364,Poor
546,,"12°58'05""","79°12'25""",01-07-2011,384.519457,20,72,66,414,35,189.0329095,178,0.626930769,8.4,82.81863558,Very poor
547,,"12°58'10""","79°04'10""",02-07-2011,384.519457,73,58.75113122,52.24729367,156,27,189.0329095,131,0.626930769,8.5,79.67263896,Very poor
548,,"12°29'00""","78°34'20""",03-07-2011,489,8,46,30,78,8,103,96,0.626930769,8.6,65.91485841,Poor
549,,"12°59'51""","79°28'25""",04-07-2011,337,6,16,15,92,3,53,19,0.626930769,8.8,62.96316371,Poor
550,,"12°47'35""","78°53'00""",05-07-2011,439,7,16,55,69,7,99,21,0.626930769,8.4,64.84319327,Poor
551,,"12°53'20""","78°46'00""",06-07-2011,661,8,68,71,69,6,206,58,0.626930769,8.4,66.14974084,Poor
552,,"12°54'05""","78°56'30""",07-07-2011,384.519457,14,68,112,283,5,475,355,0.626930769,8.3,68.48254347,Poor
553,,"12°59'45""","78°54'40""",08-07-2011,625,7,16,54,127,31,135,53,0.626930769,8.5,78.62788662,Very poor
554,,"13°01'50""","78°10'48""",09-07-2011,453,14,12,26,147,5,9,45,0.626930769,8.6,63.77432345,Poor
555,,"12°56'33""","79°11'49""",10-07-2011,518,11,10,41,124,3,106,46,0.626930769,8.6,63.42678222,Poor
556,,"12°50'38""","78°55'49""",11-07-2011,384.519457,5,34,84,225,4,319,138,0.626930769,8.8,68.08045643,Poor
557,,"12°46'43""","78°56'11""",12-07-2011,487,7,20,45,101,3,99,24,0.626930769,8.4,62.30161818,Poor
558,,"12°47'26""","79°05'09""",13-07-2011,466,13.17692308,12,80,53,4,96,36,0.626930769,8.5,65.30791328,Poor
559,,"12°45'15""","79°09'18""",14-07-2011,999,24,64,117,120,4,312,120,0.626930769,8.4,68.44631186,Poor
560,,"12°55'05""","79°03'00""",15-07-2011,384.519457,17,68,52.24729367,138,5.964226244,475,96,0.626930769,8.5,66.55572507,Poor
561,,"12°42'17""","78°48'58""",16-07-2011,588,9,10,38,161,4,131,38,0.626930769,8.6,63.84687081,Poor
562,,"13°07'50""","79°15'35""",17-07-2011,384.519457,66,108,136,409,5.964226244,189.0329095,163,0.626930769,8.6,74.21796918,Poor
563,,"13°06'25""","79°25'25""",18-07-2011,769,2,22,38,253,2,277,6,0.626930769,8.4,61.81100133,Poor
564,,"12°59'40""","79°25'28""",19-07-2011,384.519457,56,116,52.24729367,69,2,189.0329095,154,0.626930769,8.4,65.56648244,Poor
565,,"12°54'10""","79°26'30""",20-07-2011,384.519457,34,32,52.24729367,253,39,189.0329095,178,0.626930769,8.6,85.15736869,Very poor
566,,"12°57'30""","79°17'00""",21-07-2011,739,7,40,61,131,28,156,96,0.626930769,8.4,77.22874462,Very poor
567,,"12°39'30""","79°23'42""",22-07-2011,535,9,26,29,124,13,124,50,0.626930769,8.8,69.60342165,Poor
568,,"12°46'00""","79°23'05""",23-07-2011,384.519457,6,84,148,115,8,468,96,0.626930769,8.2,70.53500896,Poor
569,,"12°48'00""","79°21'25""",24-07-2011,384.519457,13.17692308,60,52.24729367,322,4,189.0329095,221,0.626930769,8.1,62.99403768,Poor
570,,"12°45'25""","79°18'35""",25-07-2011,904,27,74,24,207,10,216,96,0.626930769,8.1,65.27145681,Poor
571,,"12°52'35""","79°15'45""",26-07-2011,356,7,20,63,16,2,89,48,0.626930769,8.6,63.73355457,Poor
572,,"12°48'40""","79°14'15""",27-07-2011,703,14,52,26,175,3,110,53,0.626930769,8.4,62.29765295,Poor
573,,"13°05'02""","79°43'10""",28-07-2011,384.519457,41,58.75113122,52.24729367,262,5.964226244,189.0329095,312,0.626930769,7.7,62.69118271,Poor
574,,"13°02'23""","79°40'06""",29-07-2011,514,7,30,4,161,4,96,38,0.626930769,9,64.6570452,Poor
575,,"13°08'56""","79°42'17""",30-07-2011,384.519457,19,20,50,147,5.964226244,238,139,0.626930769,8.7,66.86177482,Poor
576,,"13°08'29""","79°36'40""",31-07-2011,500,14,32,29,97,5,131,77,0.626930769,8.6,64.32535579,Poor
577,,"13°11'19""","79°39'18""",01-08-2011,460,13,54,29,69,3,167,19,0.626930769,8.5,62.78874997,Poor
578,,"12°56'30""","79°08'00""",02-08-2011,263,13.17692308,14,19,60,5,60,14,0.626930769,8.4,61.97454149,Poor
579,,"12°55'00""","79°12'00""",03-08-2011,413,1,16,18,115,5,110,34,0.626930769,8.6,62.94951369,Poor
580,,"12°58'50""","79°39'00""",04-08-2011,384.519457,25,26,47,253,17,312,173,0.626930769,8.5,72.11072771,Poor
581,,"12°56'12""","79°35'35""",05-08-2011,384.519457,8,100,129,253,28,189.0329095,130,0.626930769,8.1,80.01324381,Very poor
582,,"12°53'27""","79°30'50""",06-08-2011,646,13.17692308,50,32,145,3,241,93,0.626930769,8.4,62.6986258,Poor
583,,"12°48'00""","79°17'00""",07-08-2011,671,8,92,43,83,29,149,19,0.626930769,8.7,79.17980824,Very poor
584,,"12°50'40""","79°06'40""",08-08-2011,862,31,12,14,136,4,369,38,0.626930769,8,60.1482001,Poor
585,,"12°58'00""","79°03'00""",09-08-2011,384.519457,36,136,52.24729367,391,5,189.0329095,259,0.626930769,7.9,64.43469239,Poor
586,,"12°56'40""","78°52'10""",10-08-2011,632,1,52,16,168,12,135,58,0.626930769,8.5,66.75360492,Poor
587,,"12°58'05""","79°12'25""",11-08-2011,384.519457,24,140,54,186.7503982,3,189.0329095,250,0.626930769,7.8,62.01884728,Poor
588,,"12°29'00""","78°34'20""",12-08-2011,459,8,46,35,64,6,131,67,0.626930769,8.4,63.82725662,Poor
589,,"12°47'35""","78°53'00""",13-08-2011,394,6,42,33,58,5,85,15,0.626930769,8.8,65.32118809,Poor
590,,"12°53'20""","78°46'00""",14-08-2011,429,6,68,17,67,5,85,22,0.626930769,8.5,63.06054958,Poor
591,,"12°54'05""","78°56'30""",15-08-2011,663,8,4,107,117,4,118,53,0.626930769,8,63.58811065,Poor
592,,"12°59'45""","78°54'40""",16-08-2011,517,7,38,46,87,5,99,53,0.626930769,8.6,64.92955483,Poor
593,,"13°01'50""","78°10'48""",17-08-2011,511,13,24,12,147,2,57,52,0.626930769,8.9,63.47431249,Poor
594,,"12°56'33""","79°11'49""",18-08-2011,324,4,16,27,69,3,60,14,0.626930769,8.5,61.6308303,Poor
595,,"12°50'38""","78°55'49""",19-08-2011,903,3,12,100,193,3,230,72,0.626930769,8,62.99504689,Poor
596,,"12°46'43""","78°56'11""",20-08-2011,588,7,62,50,83,18,99,2,0.626930769,8.6,72.42449328,Poor
597,,"12°51'54""","79°03'43""",21-08-2011,384.519457,11,48,122,391,5.964226244,189.0329095,82,0.626930769,8.7,70.99934057,Poor
598,,"12°47'26""","79°05'09""",22-08-2011,383,3,14,50,53,8,64,58,0.626930769,8.8,67.34801988,Poor
599,,"12°45'15""","79°09'18""",23-08-2011,976,32,24,103,170,6,308,82,0.626930769,8.5,69.19072648,Poor
600,,"12°55'05""","79°03'00""",24-08-2011,950,6,38,77,173,5.964226244,323,29,0.626930769,8.7,68.17234109,Poor
601,,"12°42'17""","78°48'58""",25-08-2011,455,8,26,72,39,3,96,24,0.626930769,8.9,66.73831956,Poor
602,,"13°07'50""","79°15'35""",26-08-2011,384.519457,63,52,95,419,5.964226244,189.0329095,283,0.626930769,8.5,70.79899742,Poor
603,,"13°06'25""","79°25'25""",27-08-2011,698,1,42,39,170,3,188,64,0.626930769,7.9,59.38728321,Poor
604,,"12°59'40""","79°25'28""",28-08-2011,384.519457,57,92,52.24729367,253,5,189.0329095,58,0.626930769,7.8,63.44197958,Poor
605,,"12°54'10""","79°26'30""",29-08-2011,384.519457,34,84,52.24729367,437,7,189.0329095,106,0.626930769,7.8,63.96058921,Poor
606,,"12°57'30""","79°17'00""",30-08-2011,551,7,14,36,120,36,124,61,0.626930769,8.4,79.71948509,Very poor
607,,"12°48'00""","79°21'25""",31-08-2011,384.519457,13.17692308,58.75113122,52.24729367,292,5,189.0329095,384,0.626930769,8,63.10208024,Poor
608,,"12°45'25""","79°18'35""",01-09-2011,726,22,64,85,64,5,270,63,0.626930769,8.6,68.13568396,Poor
609,,"12°52'35""","79°15'45""",02-09-2011,338,6,28,44,32,4,71,24,0.626930769,9,66.30637956,Poor
610,,"12°48'40""","79°14'15""",03-09-2011,539,11,26,72,60,11,114,53,0.626930769,8.9,71.30846039,Poor
611,,"13°05'02""","79°43'10""",04-09-2011,384.519457,25,140,110,170,7,189.0329095,82,0.626930769,8.3,69.87671169,Poor
612,,"13°02'23""","79°40'06""",05-09-2011,382,7,32,18,87,1,71,19,0.626930769,8.7,61.71492217,Poor
613,,"13°08'56""","79°42'17""",06-09-2011,986,17,46,59,87,5.964226244,270,38,0.626930769,8.4,65.73437237,Poor
614,,"13°08'29""","79°36'40""",07-09-2011,394,12,48,35,37,5,107,36,0.626930769,8.7,65.14751769,Poor
615,,"12°56'30""","79°08'00""",08-09-2011,402,13.17692308,36,24,78,4,106,50,0.626930769,8.2,60.96944131,Poor
616,,"12°55'00""","79°12'00""",09-09-2011,310,1,30,11,74,3,71,24,0.626930769,8.7,62.13414859,Poor
617,,"12°56'12""","79°35'35""",10-09-2011,384.519457,7,132,124,69,13,497,58,0.626930769,8.3,73.19052928,Poor
618,,"12°53'27""","79°30'50""",11-09-2011,402,13.17692308,48,35,53,1,142,34,0.626930769,8.2,60.05677725,Poor
619,,"12°48'00""","79°17'00""",12-09-2011,623,5,60,12,150,17,107,19,0.626930769,9.8,77.30676711,Very poor
620,,"12°50'40""","79°06'40""",13-09-2011,384.519457,53,196,131,115,4,189.0329095,10,0.626930769,8.9,74.6356096,Poor
621,,"12°58'00""","79°03'00""",14-09-2011,384.519457,11,58.75113122,141,370,4,189.0329095,5,0.626930769,8.3,68.47186514,Poor
622,,"12°56'40""","78°52'10""",15-09-2011,693,10,6,27,221,12,202,24,0.626930769,9,70.23581629,Poor
623,,"12°58'05""","79°12'25""",16-09-2011,384.519457,13,120,93,432,18,189.0329095,168,0.626930769,8.6,76.67160812,Very poor
624,,"12°58'10""","79°04'10""",17-09-2011,384.519457,49,58.75113122,52.24729367,308,10,189.0329095,144,0.626930769,8.9,72.32548013,Poor
625,,"12°29'00""","78°34'20""",18-09-2011,404,13.17692308,28,37,71,9,128,13,0.626930769,11.1,81.8784599,Very poor
626,,"12°59'51""","79°28'25""",19-09-2011,400,1,20,37,81,6,78,12,0.626930769,11.3,80.85436075,Very poor
627,,"12°47'35""","78°53'00""",20-09-2011,430,10,10,51,78,4,99,10,0.626930769,10.5,75.85439785,Very poor
628,,"12°53'20""","78°46'00""",21-09-2011,481,21,24,48,78,4,99,19,0.626930769,10.5,76.34472667,Very poor
629,,"12°59'45""","78°54'40""",22-09-2011,778,8,10,61,202,3,269,29,0.626930769,10.9,78.78619796,Very poor
630,,"13°01'50""","78°10'48""",23-09-2011,451,1,10,21,140,2,53,38,0.626930769,10,69.9369208,Poor
631,,"12°56'33""","79°11'49""",24-09-2011,535,10,56,27,117,3,160,19,0.626930769,8.5,62.70543985,Poor
632,,"12°50'38""","78°55'49""",25-09-2011,751,6,34,61,175,2,184,24,0.626930769,8.8,65.51779525,Poor
633,,"12°46'43""","78°56'11""",26-09-2011,476,1,12,38,115,8,71,14,0.626930769,10.8,78.91012323,Very poor
634,,"12°51'54""","79°03'43""",27-09-2011,384.519457,34,80,113,400,12,189.0329095,29,0.626930769,9.1,77.49296783,Very poor
635,,"12°47'26""","79°05'09""",28-09-2011,606,21,32,62,92,4,149,19,0.626930769,8.9,67.55031481,Poor
636,,"12°45'15""","79°09'18""",29-09-2011,384.519457,11,56,148,147,4,189.0329095,24,0.626930769,8.9,72.05243129,Poor
637,,"12°55'05""","79°03'00""",30-09-2011,716,11,30,24,173,5.964226244,188,19,0.626930769,8.7,65.24961634,Poor
638,,"12°42'17""","78°48'58""",01-10-2011,500,11,6,13,168,2,50,29,0.626930769,10.1,70.51279306,Poor
639,,"13°06'25""","79°25'25""",02-10-2011,568,10,12,29,168,4,152,14,0.626930769,8.5,62.83255662,Poor
640,,"12°59'40""","79°25'28""",03-10-2011,384.519457,32,200,102,191,8,189.0329095,10,0.626930769,8.8,74.0789471,Poor
641,,"12°54'10""","79°26'30""",04-10-2011,384.519457,3,58.75113122,80,322,12,189.0329095,1,0.626930769,9.1,74.10255955,Poor
642,,"12°57'30""","79°17'00""",05-10-2011,506,7,16,27,115,35,106,14,0.626930769,8.4,78.62124835,Very poor
643,,"12°39'30""","79°23'42""",06-10-2011,618,8,4,24,161,24,220,26,0.626930769,9.3,78.1718901,Very poor
644,,"12°48'00""","79°21'25""",07-10-2011,384.519457,13,22,129,460,7,189.0329095,5,0.626930769,8.2,68.60362939,Poor
645,,"12°45'25""","79°18'35""",08-10-2011,417,4,20,24,104,5,149,5,0.626930769,9.2,67.07407106,Poor
646,,"12°52'35""","79°15'45""",09-10-2011,396,5,10,24,113,2,99,2,0.626930769,9.6,67.73792276,Poor
647,,"12°48'40""","79°14'15""",10-10-2011,512,13.17692308,10,12,184,4,89,121.0057919,0.626930769,11.1,78.00592217,Very poor
648,,"13°05'02""","79°43'10""",11-10-2011,384.519457,13,50,20,186.7503982,2,107,16,0.626930769,8.3,60.63301045,Poor
649,,"13°02'23""","79°40'06""",12-10-2011,492,6,14,12,150,12,121,6,0.626930769,8.9,68.47582217,Poor
650,,"13°08'56""","79°42'17""",13-10-2011,384.519457,7,8,17,184,5.964226244,149,307,0.626930769,10.1,73.28588522,Poor
651,,"13°08'29""","79°36'40""",14-10-2011,473,5,38,29,97,4,146,62,0.626930769,8.6,63.50954796,Poor
652,,"13°11'19""","79°39'18""",15-10-2011,484,6,80,7,87,4,160,14,0.626930769,8.2,60.47496875,Poor
653,,"12°56'30""","79°08'00""",16-10-2011,271,3,8,12,76,4,68,24,0.626930769,8.5,61.26682713,Poor
654,,"12°55'00""","79°12'00""",17-10-2011,468,1,30,20,127,4,96,31,0.626930769,8.6,62.7250568,Poor
655,,"12°58'50""","79°39'00""",18-10-2011,879,6,74,20,221,29,302,28,0.626930769,8.6,77.58912362,Very poor
656,,"12°56'12""","79°35'35""",19-10-2011,867,6,26,45,216,32,387,5,0.626930769,9,82.33814567,Very poor
657,,"12°53'27""","79°30'50""",20-10-2011,397,13.17692308,36,51,46,2,96,8,0.626930769,11.1,78.83611678,Very poor
658,,"12°50'40""","79°06'40""",21-10-2011,712,13.17692308,58,99,62,2,369,58,0.626930769,8.042683258,63.52737271,Poor
659,,"12°58'00""","79°03'00""",22-10-2011,384.519457,2,80,52.24729367,239,2,189.0329095,33,0.626930769,8.042683258,60.95780953,Poor
660,,"12°56'40""","78°52'10""",23-10-2011,570,13.17692308,12,35,150,10,89,106,0.626930769,8.042683258,63.74692156,Poor
661,,"12°58'05""","79°12'25""",24-10-2011,384.519457,13.17692308,36,46,426,2,189.0329095,61,0.626930769,8.042683258,60.86195092,Poor
662,,"12°29'00""","78°34'20""",25-10-2011,413,13.17692308,40,21,85,5,128,58,0.626930769,8.042683258,60.5065628,Poor
663,,"12°47'35""","78°53'00""",26-10-2011,384,4,16,46,53,4,78,86,0.626930769,8.042683258,60.48850045,Poor
664,,"12°53'20""","78°46'00""",27-10-2011,462,1,30,24,94,4,114,154,0.626930769,8.042683258,59.68077765,Poor
665,,"12°59'45""","78°54'40""",28-10-2011,755,13.17692308,62,82,101,5,124,144,0.626930769,8.042683258,64.23958439,Poor
666,,"13°01'50""","78°10'48""",29-10-2011,453,13.17692308,18,26,127,4,92,19,0.626930769,8.042683258,59.91021741,Poor
667,,"12°56'33""","79°11'49""",30-10-2011,496,13.17692308,30,29,67,5.964226244,106,77,0.626930769,8.042683258,61.29681196,Poor
668,,"12°50'38""","78°55'49""",31-10-2011,775,13.17692308,18,79,177,1,138,58,0.626930769,8.042683258,61.35313235,Poor
669,,"12°46'43""","78°56'11""",01-11-2011,536,13.17692308,62,44,78,10,114,31,0.626930769,8.042683258,64.66870179,Poor
670,,"12°47'26""","79°05'09""",02-11-2011,498,13.17692308,20,73,71,2,82,38,0.626930769,8.042683258,61.21672658,Poor
671,,"12°45'15""","79°09'18""",03-11-2011,971,2,60,52.24729367,85,2,476,42,0.626930769,8.042683258,60.9353998,Poor
672,,"12°55'05""","79°03'00""",04-11-2011,809,13.17692308,66,50,161,17,270,66,0.626930769,8.042683258,69.31032619,Poor
673,,"12°42'17""","78°48'58""",05-11-2011,449,1,12,72,48,2,131,84,0.626930769,8.042683258,60.65919057,Poor
674,,"13°06'25""","79°25'25""",06-11-2011,555,13.17692308,14,39,147,3,202,29,0.626930769,8.042683258,60.21188969,Poor
675,,"12°48'00""","79°21'25""",07-11-2011,384.519457,5,42,33,186.7503982,7,189.0329095,119,0.626930769,8.042683258,62.28223491,Poor
676,,"12°45'25""","79°18'35""",08-11-2011,325,13.17692308,24,43,41,2,60,21,0.626930769,8.042683258,59.55070273,Poor
677,,"12°52'35""","79°15'45""",09-11-2011,325,13.17692308,24,43,41,2,60,21,0.626930769,8.042683258,59.55070273,Poor
678,,"13°05'02""","79°43'10""",10-11-2011,384.519457,1,58.75113122,142,179,10,189.0329095,59,0.626930769,8.042683258,69.52316613,Poor
679,,"13°02'23""","79°40'06""",11-11-2011,436,3,12,24,99,4,85,22,0.626930769,8.042683258,59.26896708,Poor
680,,"13°08'29""","79°36'40""",12-11-2011,450,13.17692308,50,41,55,5,138,61,0.626930769,8.042683258,61.65202225,Poor
681,,"12°56'30""","79°08'00""",13-11-2011,368,13.17692308,22,23,90,3,60,30,0.626930769,8.042683258,59.14883883,Poor
682,,"12°55'00""","79°12'00""",14-11-2011,482,13.17692308,36,40,108,3,107,31,0.626930769,8.042683258,60.35426635,Poor
683,,"12°48'00""","79°17'00""",15-11-2011,332,3,20,49,21,16,128,17,0.626930769,8.042683258,67.01813908,Poor
684,,"12°50'40""","79°06'40""",16-11-2011,170,5,20,12,23,16,18,5,0.626930769,8.6,68.37396155,Poor
685,,"12°58'00""","79°03'00""",17-11-2011,384.519457,62,160,52.24729367,242,5.964226244,189.0329095,480,0.626930769,8.1,67.55969612,Poor
686,,"12°56'40""","78°52'10""",18-11-2011,711,11,24,28,214,5,199,17,0.626930769,8.042683258,60.93274909,Poor
687,,"12°58'05""","79°12'25""",19-11-2011,384.519457,13.17692308,160,49,186.7503982,5.964226244,189.0329095,125,0.626930769,8.5,67.29655001,Poor
688,,"12°47'35""","78°53'00""",20-11-2011,454,13.17692308,24,52,69,16,92,27,0.626930769,8.042683258,67.72184607,Poor
689,,"12°53'20""","78°46'00""",21-11-2011,545,6,56,41,83,6,252,12,0.626930769,8.042683258,62.14903634,Poor
690,,"12°59'45""","78°54'40""",22-11-2011,591,2,20,55,133,9,107,14,0.626930769,8.042683258,63.77792338,Poor
691,,"13°01'50""","78°10'48""",23-11-2011,572,9,26,35,140,13,146,24,0.626930769,8.042683258,65.324807,Poor
692,,"12°56'33""","79°11'49""",24-11-2011,424,13,20,49,24,12,131,10,0.626930769,8.4,67.44869111,Poor
693,,"12°50'38""","78°55'49""",25-11-2011,384.519457,13,120,61,209,5.964226244,128,216,0.626930769,8,64.4179951,Poor
694,,"12°46'43""","78°56'11""",26-11-2011,641,13.17692308,50,61,97,6,238,28,0.626930769,8.042683258,63.44316682,Poor
695,,"12°51'54""","79°03'43""",27-11-2011,384.519457,39,58.75113122,52.24729367,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,7.9,63.3909036,Poor
696,,"12°47'26""","79°05'09""",28-11-2011,836,6,48,93,83,5.964226244,195,86,0.626930769,8.2,65.80932937,Poor
697,,"12°45'15""","79°09'18""",29-11-2011,384.519457,50,128,81,265,5.964226244,426,211,0.626930769,7.7,65.62851852,Poor
698,,"12°55'05""","79°03'00""",30-11-2011,384.519457,21,56,76,186,39,447,62,0.626930769,8.3,84.40185743,Very poor
699,,"12°42'17""","78°48'58""",01-12-2011,624,13.17692308,24,76,106,6,220,21,0.626930769,8.042683258,63.84031277,Poor
700,,"13°07'50""","79°15'35""",02-12-2011,384.519457,13.17692308,130,52.24729367,186.7503982,5.964226244,189.0329095,86,0.626930769,7.5,60.89000118,Poor
701,,"13°06'25""","79°25'25""",03-12-2011,599,7,20,33,140,35,195,5,0.626930769,8.2,77.94200642,Very poor
702,,"12°59'40""","79°25'28""",04-12-2011,384.519457,4,192,122,175,5.964226244,189.0329095,37,0.626930769,7.9,67.35185565,Poor
703,,"12°54'10""","79°26'30""",05-12-2011,384.519457,13.17692308,152,52.24729367,432,5.964226244,189.0329095,36,0.626930769,7.6,62.20315864,Poor
704,,"12°57'30""","79°17'00""",06-12-2011,615,13.17692308,40,49,85,5.964226244,209,6,0.626930769,8,62.30137788,Poor
705,,"12°39'30""","79°23'42""",07-12-2011,577,2,28,68,74,35,103,46,0.626930769,8.042683258,78.52976847,Very poor
706,,"12°46'00""","79°23'05""",08-12-2011,384.519457,7,58.75113122,29,186.7503982,35,189.0329095,121.0057919,0.626930769,8.042683258,77.50800705,Very poor
707,,"12°48'00""","79°21'25""",09-12-2011,384.519457,21,128,15,186.7503982,23,189.0329095,470,0.626930769,8.042683258,72.33934075,Poor
708,,"12°45'25""","79°18'35""",10-12-2011,354,5,24,20,64,39,77,21,0.626930769,8.042683258,78.1012761,Very poor
709,,"12°52'35""","79°15'45""",11-12-2011,354,5,24,20,64,39,77,21,0.626930769,8.042683258,78.1012761,Very poor
710,,"13°05'02""","79°43'10""",12-12-2011,384.519457,5,58.75113122,52.24729367,186.7503982,2,189.0329095,6,0.626930769,8.042683258,60.63566674,Poor
711,,"13°02'23""","79°40'06""",13-12-2011,788,11,32,52,186,3,266,77,0.626930769,8.042683258,61.35373537,Poor
712,,"13°08'56""","79°42'17""",14-12-2011,935,7,16,65,267,2,220,101,0.626930769,8.042683258,61.29614547,Poor
713,,"13°08'29""","79°36'40""",15-12-2011,706,7,58,71,90,3,320,82,0.626930769,8.042683258,62.40746459,Poor
714,,"13°11'19""","79°39'18""",16-12-2011,407,3,32,34,64,5.964226244,71,10,0.626930769,8.042683258,61.01157674,Poor
715,,"12°56'30""","79°08'00""",17-12-2011,318,11,30,31,18,27,71,6,0.626930769,9.3,80.0418083,Very poor
716,,"12°55'00""","79°12'00""",18-12-2011,512,13.17692308,20,29,97,5.964226244,138,5,0.626930769,8.5,63.93908692,Poor
717,,"12°58'50""","79°39'00""",19-12-2011,480,11,16,34,117,2,71,16,0.626930769,8.042683258,59.09177225,Poor
718,,"12°53'27""","79°30'50""",20-12-2011,420,2,32,52,24,3,96,24,0.626930769,8.042683258,60.28469635,Poor
719,,"12°50'40""","79°06'40""",21-12-2011,716,13.17692308,30,73,138,1,401,3,0.626930769,9,67.1946281,Poor
720,,"12°58'00""","79°03'00""",22-12-2011,384.519457,13.17692308,176,98,343,1,189.0329095,331,0.626930769,8.6,68.61135668,Poor
721,,"12°56'40""","78°52'10""",23-12-2011,784,13.17692308,30,27,232,2,213,113,0.626930769,9,65.49086066,Poor
722,,"12°58'05""","79°12'25""",24-12-2011,384.519457,13.17692308,24,27,437,1,359,300,0.626930769,8.9,65.00471711,Poor
723,,"12°29'00""","78°34'20""",25-12-2011,517,13.17692308,26,12,154,2,176,77,0.626930769,8.5,61.27139619,Poor
724,,"12°47'35""","78°53'00""",26-12-2011,456,13.17692308,20,46,87,5.964226244,89,56,0.626930769,9,67.85169455,Poor
725,,"12°53'20""","78°46'00""",27-12-2011,652,13.17692308,54,57,97,1,369,10,0.626930769,8.9,65.9584109,Poor
726,,"12°59'45""","78°54'40""",28-12-2011,884,13.17692308,104,37,182,18,78,66,0.626930769,9.2,76.58604816,Very poor
727,,"13°01'50""","78°10'48""",29-12-2011,735,13.17692308,32,40,193,1,316,60,0.626930769,8.9,64.99715888,Poor
728,,"12°56'33""","79°11'49""",30-12-2011,636,13.17692308,24,78,101,1,213,115,0.626930769,8.7,65.38451059,Poor
729,,"12°50'38""","78°55'49""",31-12-2011,877,13.17692308,6,46,230,5.964226244,277,115,0.626930769,9.2,69.61271225,Poor
730,,"12°47'26""","79°05'09""",01-01-2012,454,13.17692308,16,62,71,1,142,19,0.626930769,9.1,66.53156809,Poor
731,,"12°45'15""","79°09'18""",02-01-2012,384.519457,13.17692308,68,102,359,1,189.0329095,245,0.626930769,8.9,69.05277623,Poor
732,,"12°55'05""","79°03'00""",03-01-2012,867,13.17692308,92,129,41,20,291,29,0.626930769,8.7,79.14837725,Very poor
733,,"12°42'17""","78°48'58""",04-01-2012,510,13.17692308,24,60,90,5.964226244,170,20,0.626930769,9,68.70026015,Poor
734,,"13°07'50""","79°15'35""",05-01-2012,384.519457,21,64,102,186.7503982,5.964226244,189.0329095,331,0.626930769,8.8,71.1678087,Poor
735,,"13°06'25""","79°25'25""",06-01-2012,667,13.17692308,56,29,154,22,149,53,0.626930769,8.3,72.12454301,Poor
736,,"12°59'40""","79°25'28""",07-01-2012,384.519457,3,80,112,423,5.964226244,189.0329095,86,0.626930769,7.7,64.5850208,Poor
737,,"12°39'30""","79°23'42""",08-01-2012,749,13.17692308,22,24,200,9,209,3,0.626930769,8.7,66.92611363,Poor
738,,"12°48'00""","79°21'25""",09-01-2012,384.519457,13.17692308,64,2,186.7503982,2,189.0329095,72,0.626930769,8.5,61.30921133,Poor
739,,"12°45'25""","79°18'35""",10-01-2012,384.519457,19,120,49,186.7503982,2,189.0329095,120,0.626930769,8.6,65.4284185,Poor
740,,"12°52'35""","79°15'45""",11-01-2012,365,13.17692308,12,15,108,5.964226244,124,30,0.626930769,8.8,64.92961188,Poor
741,,"13°05'02""","79°43'10""",12-01-2012,384.519457,44,136,73,186.7503982,3,189.0329095,144,0.626930769,8.5,67.82146351,Poor
742,,"13°02'23""","79°40'06""",13-01-2012,367,13.17692308,8,10,131,5.964226244,57,12,0.626930769,9.1,66.37890129,Poor
743,,"13°08'56""","79°42'17""",14-01-2012,822,13.17692308,14,20,265,30,259,36,0.626930769,8.8,78.82192481,Very poor
744,,"13°08'29""","79°36'40""",15-01-2012,546,13.17692308,28,21,152,2,231,57,0.626930769,8.8,63.63796391,Poor
745,,"13°11'19""","79°39'18""",16-01-2012,296,13.17692308,24,52.24729367,92,1,82,15,0.626930769,8.7,63.60754373,Poor
746,,"12°56'30""","79°08'00""",17-01-2012,392,13.17692308,18,16,108,1,96,53,0.626930769,9.1,64.22261558,Poor
747,,"12°55'00""","79°12'00""",18-01-2012,413,13.17692308,28,2,129,1,103,47,0.626930769,8.9,62.46187439,Poor
748,,"12°48'00""","79°17'00""",19-01-2012,384.519457,17,64,98,186.7503982,4,189.0329095,120,0.626930769,8.2,65.75814072,Poor
749,,"12°50'40""","79°06'40""",20-01-2012,384.519457,29,58.75113122,59,186.7503982,5.964226244,189.0329095,480,0.626930769,7.5,61.47553533,Poor
750,,"12°58'00""","79°03'00""",21-01-2012,384.519457,31,136,78,186.7503982,4,189.0329095,120,0.626930769,7.8,63.8145293,Poor
